X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
0, -1.5, 2, -43.935, 111.54, 3, 3, 3, 2
0, -1, 2, -29.747, -25.278, 2, 2, 2, 2
0, -0.5, 2, -24.844, -85.903, 4, 4, 4, 4
0, 0, 2, -34.921, -2.2386, 4, 4, 4, 4
0, 0.5, 2, -33.734, 54.253, 3, 3, 3, 3
0, 1, 2, -34.668, -51.047, 2, 2, 2, 2
0, 1.5, 2, -35.551, -159.46, 5, 5, 5, 3
0.5, -1.5, 2, nan, nan, 5, 5, 5, 5
0.5, -1, 2, -20.269, -50.366, 5, 5, 5, 5
0.5, -0.5, 2, -22.582, -174.47, 5, 5, 5, 5
0.5, 0, 2, -14.56, -61.653, 5, 5, 5, 5
0.5, 0.5, 2, -12.713, -92.566, 5, 5, 5, 5
0.5, 1, 2, -17.782, 97.561, 5, 5, 5, 5
0.5, 1.5, 2, -22.73, -170.79, 5, 5, 5, 5
1, -1.5, 2, nan, nan, 5, 5, 5, 5
1, -1, 2, -18.121, 13.264, 5, 5, 5, 5
1, -0.5, 2, -20.999, -2.7099, 5, 5, 5, 5
1, 0, 2, -14.489, 81.149, 5, 5, 5, 5
1, 0.5, 2, -20.902, -81.712, 5, 5, 5, 5
1, 1, 2, -12.777, 173.38, 5, 5, 5, 5
1, 1.5, 2, nan, nan, 5, 5, 5, 5
1.5, -1.5, 2, nan, nan, 5, 5, 5, 5
1.5, -1, 2, -21.877, -84.76, 5, 5, 5, 5
1.5, -0.5, 2, -18.448, -38.011, 5, 5, 5, 5
1.5, 0, 2, -15.036, 0.27892, 5, 5, 5, 5
1.5, 0.5, 2, -21.266, 163.75, 5, 5, 5, 5
1.5, 1, 2, -24.852, -96.241, 5, 5, 5, 5
1.5, 1.5, 2, nan, nan, 5, 5, 5, 5
2, -1.5, 2, nan, nan, 5, 5, 5, 5
2, -1, 2, -25.766, 101.22, 5, 5, 5, 5
2, -0.5, 2, -21.964, -114.63, 5, 5, 5, 5
2, 0, 2, -22.973, -35.558, 5, 5, 5, 5
2, 0.5, 2, -18.055, -36.939, 5, 5, 5, 5
2, 1, 2, -22.79, -118.83, 5, 5, 5, 5
2, 1.5, 2, nan, nan, 5, 5, 5, 5
2.5, -1.5, 2, nan, nan, 5, 5, 5, 5
2.5, -1, 2, -20.648, 37.391, 5, 5, 5, 5
2.5, -0.5, 2, -20.554, -41.99, 5, 5, 5, 5
2.5, 0, 2, -16.496, -167.47, 5, 5, 5, 5
2.5, 0.5, 2, -24.921, -23.462, 5, 5, 5, 5
2.5, 1, 2, -21.562, -86.735, 5, 5, 5, 5
2.5, 1.5, 2, nan, nan, 5, 5, 5, 5
3, -1.5, 2, -38.947, -175.51, 5, 5, 5, 5
3, -1, 2, -20.267, 164.4, 5, 5, 5, 5
3, -0.5, 2, -22.068, -121.93, 5, 5, 5, 5
3, 0, 2, -18.103, -61.049, 5, 5, 5, 5
3, 0.5, 2, -20.535, -40.431, 5, 5, 5, 5
3, 1, 2, -19.545, 113.45, 5, 5, 5, 5
3, 1.5, 2, nan, nan, 5, 5, 5, 5
3.5, -1.5, 2, nan, nan, 5, 5, 5, 5
3.5, -1, 2, -20.982, 141.66, 5, 5, 5, 5
3.5, -0.5, 2, -24.706, 62.65, 5, 5, 5, 5
3.5, 0, 2, -19.12, -52.969, 5, 5, 5, 5
3.5, 0.5, 2, -20.177, -156.93, 5, 5, 5, 5
3.5, 1, 2, -20.223, 101.19, 5, 5, 5, 5
3.5, 1.5, 2, -32.793, -124.98, 5, 5, 5, 5
4, -1.5, 2, nan, nan, 5, 5, 5, 5
4, -1, 2, -27.636, 18.238, 5, 5, 5, 5
4, -0.5, 2, -20.924, -176.62, 5, 5, 5, 5
4, 0, 2, -26.182, -30.169, 5, 5, 5, 5
4, 0.5, 2, -39.586, -149.96, 5, 5, 5, 5
4, 1, 2, -41.015, -14.704, 5, 5, 5, 5
4, 1.5, 2, nan, nan, 5, 5, 5, 5
4.5, -1.5, 2, nan, nan, 5, 5, 5, 5
4.5, -1, 2, -29.606, -60.699, 5, 5, 5, 5
4.5, -0.5, 2, -28.498, 170.5, 5, 5, 5, 5
4.5, 0, 2, -20.532, -27.559, 5, 5, 5, 5
4.5, 0.5, 2, -21.191, 60.634, 5, 5, 5, 5
4.5, 1, 2, -28.936, 154.85, 5, 5, 5, 5
4.5, 1.5, 2, nan, nan, 5, 5, 5, 5
5, -1.5, 2, -29.579, 171.27, 5, 5, 5, 5
5, -1, 2, -20.498, 10.612, 5, 5, 5, 5
5, -0.5, 2, -24.507, -83.87, 5, 5, 5, 5
5, 0, 2, -24.576, -130.31, 5, 5, 5, 5
5, 0.5, 2, -22.177, 24.879, 5, 5, 5, 5
5, 1, 2, -21.987, 112.08, 5, 5, 5, 5
5, 1.5, 2, nan, nan, 5, 5, 5, 5
5.5, -1.5, 2, nan, nan, 5, 5, 5, 5
5.5, -1, 2, -33.733, 15.387, 5, 5, 5, 5
5.5, -0.5, 2, -23.341, -118.31, 5, 5, 5, 5
5.5, 0, 2, -24.951, -132.7, 5, 5, 5, 5
5.5, 0.5, 2, -32.248, -43.152, 5, 5, 5, 5
5.5, 1, 2, -24.48, 22.625, 5, 5, 5, 5
5.5, 1.5, 2, nan, nan, 5, 5, 5, 5
6, -1.5, 2, -29.523, 152.31, 5, 5, 5, 5
6, -1, 2, -22.013, 157.93, 5, 5, 5, 5
6, -0.5, 2, -22.695, -101.57, 5, 5, 5, 5
6, 0, 2, -34.674, 126.84, 5, 5, 5, 5
6, 0.5, 2, -24.613, 114.26, 5, 5, 5, 5
6, 1, 2, -25.023, -62.31, 5, 5, 5, 5
6, 1.5, 2, nan, nan, 5, 5, 5, 5
6.5, -1.5, 2, nan, nan, 5, 5, 5, 5
6.5, -1, 2, -45.268, -36.008, 5, 5, 5, 5
6.5, -0.5, 2, -33.723, 148.67, 5, 5, 5, 5
6.5, 0, 2, -24.987, 37.889, 5, 5, 5, 5
6.5, 0.5, 2, -26.165, 29.88, 5, 5, 5, 5
6.5, 1, 2, -24.022, -158.67, 5, 5, 5, 5
6.5, 1.5, 2, -39.443, 168.33, 5, 5, 5, 5
7, -1.5, 2, nan, nan, 5, 5, 5, 5
7, -1, 2, -23.147, 153.14, 5, 5, 5, 5
7, -0.5, 2, -30.289, 158.87, 5, 5, 5, 5
7, 0, 2, -22.595, -15.997, 5, 5, 5, 5
7, 0.5, 2, -23.558, -54.572, 5, 5, 5, 5
7, 1, 2, -26.957, 72.624, 5, 5, 5, 5
7, 1.5, 2, -35.171, 7.7154, 5, 5, 5, 5
7.5, -1.5, 2, nan, nan, 5, 5, 5, 5
7.5, -1, 2, -24.548, -149.1, 5, 5, 5, 5
7.5, -0.5, 2, -23.153, 148.99, 5, 5, 5, 5
7.5, 0, 2, -23.955, -82.917, 5, 5, 5, 5
7.5, 0.5, 2, -25.044, -128.8, 5, 5, 5, 5
7.5, 1, 2, -29.549, 17.465, 5, 5, 5, 5
7.5, 1.5, 2, nan, nan, 5, 5, 5, 5
8, -1.5, 2, nan, nan, 5, 5, 5, 5
8, -1, 2, -43.585, -41.202, 5, 5, 5, 5
8, -0.5, 2, -45.657, 35.963, 5, 5, 5, 5
8, 0, 2, -32.33, 169.04, 5, 5, 5, 5
8, 0.5, 2, -29.525, 144.22, 5, 5, 5, 5
8, 1, 2, -44.802, 62.413, 5, 5, 5, 5
8, 1.5, 2, nan, nan, 5, 5, 5, 5
8.5, -1.5, 2, nan, nan, 5, 5, 5, 5
8.5, -1, 2, -26.338, 68.218, 5, 5, 5, 5
8.5, -0.5, 2, -33.826, 6.8306, 5, 5, 5, 5
8.5, 0, 2, -34.018, -33.845, 5, 5, 5, 5
8.5, 0.5, 2, -35.701, 18.994, 5, 5, 5, 5
8.5, 1, 2, -35.172, 20.205, 5, 5, 5, 5
8.5, 1.5, 2, nan, nan, 5, 5, 5, 5
9, -1.5, 2, nan, nan, 5, 5, 5, 5
9, -1, 2, -23.853, 75.772, 5, 5, 5, 5
9, -0.5, 2, -27.28, -128.95, 5, 5, 5, 5
9, 0, 2, -35.872, -52.713, 5, 5, 5, 5
9, 0.5, 2, -31.756, -161.88, 5, 5, 5, 5
9, 1, 2, -33.142, -92.757, 5, 5, 5, 5
9, 1.5, 2, -36.626, -143.07, 5, 5, 5, 5
9.5, -1.5, 2, nan, nan, 5, 5, 5, 5
9.5, -1, 2, -27.061, 74.358, 5, 5, 5, 5
9.5, -0.5, 2, -24.617, -145.89, 5, 5, 5, 5
9.5, 0, 2, -25.066, -147.83, 5, 5, 5, 5
9.5, 0.5, 2, -27.119, 66.506, 5, 5, 5, 5
9.5, 1, 2, -31.736, 147.41, 5, 5, 5, 5
