X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
1, 1, 1.5, -14.39, -167.79, 5, 5, 5, 5
1.5, 1, 1.5, -17.535, 84.875, 5, 5, 5, 5
2, 1, 1.5, -22.238, -47.318, 5, 5, 5, 5
2.5, 1, 1.5, -16.997, -162.95, 5, 5, 5, 5
3, 1, 1.5, -22.36, 17.35, 5, 5, 5, 5
3.5, 1, 1.5, -18.16, -51.002, 5, 5, 5, 5
4, 1, 1.5, -29.994, -118.79, 5, 5, 5, 5
4.5, 1, 1.5, -29.702, -27.022, 5, 5, 5, 5
5, 1, 1.5, -21.223, -101, 5, 5, 5, 5
5.5, 1, 1.5, -22.752, 161.46, 5, 5, 5, 5
6, 1, 1.5, -23.639, 60.446, 5, 5, 5, 5
6.5, 1, 1.5, -23.339, -46.031, 5, 5, 5, 5
7, 1, 1.5, -27.625, 178.03, 5, 5, 5, 5
7.5, 1, 1.5, -29.579, 105.92, 5, 5, 5, 5
8, 1, 1.5, -49.575, 100.6, 5, 5, 5, 5
8.5, 1, 1.5, -34.593, 105.56, 5, 5, 5, 5
9, 1, 1.5, -34.482, -9.7061, 5, 5, 5, 5
9.5, 1, 1.5, -30.42, -143.7, 5, 5, 5, 5
10, 1, 1.5, -29.327, 91.743, 5, 5, 5, 5
10.5, 1, 1.5, -29.345, -57.998, 5, 5, 5, 5
11, 1, 1.5, -32.183, -178.42, 5, 5, 5, 5
11.5, 1, 1.5, -30.268, 123.6, 5, 5, 5, 5
12, 1, 1.5, -27.865, -26.407, 5, 5, 5, 5
12.5, 1, 1.5, -33.857, -172.09, 5, 5, 5, 5
13, 1, 1.5, -26.916, 107.75, 5, 5, 5, 5
13.5, 1, 1.5, -30.131, -35.398, 5, 5, 5, 5
14, 1, 1.5, -27.313, -115.4, 5, 5, 5, 5
14.5, 1, 1.5, -34.929, 86.737, 5, 5, 5, 5
15, 1, 1.5, -28.131, -12.95, 5, 5, 5, 5
15.5, 1, 1.5, -35.088, -134.92, 5, 5, 5, 5
