X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
0, -1.5, 2, -37.156, -110.74, 3, 3, 3, 1
0, -1, 2, -36.921, 25.267, 3, 3, 3, 1
0, -0.5, 2, -36.828, 82.629, 3, 3, 3, 1
0, 0, 2, -36.945, 34.262, 3, 3, 3, 1
0, 0.5, 2, -37.369, -158.8, 3, 3, 3, 1
0, 1, 2, -38.212, 167.28, 3, 3, 3, 1
0, 1.5, 2, -38.258, -146.92, 3, 3, 3, 1
0.5, -1.5, 2, -37.29, -19.292, 3, 3, 3, 1
0.5, -1, 2, -37.137, 161.06, 3, 3, 3, 1
0.5, -0.5, 2, -37.167, -89.246, 3, 3, 3, 1
0.5, 0, 2, -37.534, -75.718, 3, 3, 3, 1
0.5, 0.5, 2, -38.445, 164.03, 3, 3, 3, 1
0.5, 1, 2, -40.319, -145.93, 3, 3, 3, 1
0.5, 1.5, 2, nan, nan, 3, 3, 3, 1
1, -1.5, 2, nan, nan, 12, 12, 12, 9
1, -1, 2, -38.697, -81.874, 12, 12, 12, 9
1, -0.5, 2, -34.683, 100.3, 12, 12, 12, 9
1, 0, 2, -29.923, 144.8, 17, 17, 17, 9
1, 0.5, 2, -34.683, 100.3, 12, 12, 12, 9
1, 1, 2, -38.697, -81.874, 12, 12, 12, 9
1, 1.5, 2, nan, nan, 12, 12, 12, 9
1.5, -1.5, 2, nan, nan, 12, 12, 12, 9
1.5, -1, 2, -32.099, -131.48, 12, 12, 12, 9
1.5, -0.5, 2, -35.229, -141.63, 12, 12, 12, 9
1.5, 0, 2, -33.405, -72.137, 15, 15, 15, 9
1.5, 0.5, 2, -35.229, -141.63, 12, 12, 12, 9
1.5, 1, 2, -32.099, -131.48, 12, 12, 12, 9
1.5, 1.5, 2, nan, nan, 12, 12, 12, 9
2, -1.5, 2, nan, nan, 12, 12, 12, 9
2, -1, 2, -31.012, 70.486, 12, 12, 12, 9
2, -0.5, 2, -43.088, -135.19, 12, 12, 12, 9
2, 0, 2, -32.488, 26.106, 15, 15, 15, 9
2, 0.5, 2, -43.088, -135.19, 12, 12, 12, 9
2, 1, 2, -31.012, 70.486, 12, 12, 12, 9
2, 1.5, 2, nan, nan, 12, 12, 12, 9
2.5, -1.5, 2, nan, nan, 12, 12, 12, 9
2.5, -1, 2, -25.928, 10.405, 12, 12, 12, 9
