X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
-12.5, -27.5, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -27, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -26.5, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -26, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -25.5, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -25, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -24.5, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -24, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -23.5, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -23, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -22.5, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -22, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -21.5, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -21, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -20.5, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -20, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -19.5, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -19, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -18.5, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -18, 1.5, -300, 0, 0, 0, 0, 0
-12.5, -17.5, 1.5, -300, 0, 0, 0, 0, 0
-12, -27.5, 1.5, -300, 0, 0, 0, 0, 0
-12, -27, 1.5, -300, 0, 0, 0, 0, 0
-12, -26.5, 1.5, -300, 0, 0, 0, 0, 0
-12, -26, 1.5, -300, 0, 0, 0, 0, 0
-12, -25.5, 1.5, -300, 0, 0, 0, 0, 0
-12, -25, 1.5, -300, 0, 0, 0, 0, 0
-12, -24.5, 1.5, -300, 0, 0, 0, 0, 0
-12, -24, 1.5, -300, 0, 0, 0, 0, 0
-12, -23.5, 1.5, -300, 0, 0, 0, 0, 0
-12, -23, 1.5, -300, 0, 0, 0, 0, 0
-12, -22.5, 1.5, -300, 0, 0, 0, 0, 0
-12, -22, 1.5, -300, 0, 0, 0, 0, 0
-12, -21.5, 1.5, -300, 0, 0, 0, 0, 0
-12, -21, 1.5, -300, 0, 0, 0, 0, 0
-12, -20.5, 1.5, -300, 0, 0, 0, 0, 0
-12, -20, 1.5, -300, 0, 0, 0, 0, 0
-12, -19.5, 1.5, -300, 0, 0, 0, 0, 0
-12, -19, 1.5, -300, 0, 0, 0, 0, 0
-12, -18.5, 1.5, -300, 0, 0, 0, 0, 0
-12, -18, 1.5, -300, 0, 0, 0, 0, 0
-12, -17.5, 1.5, -300, 0, 0, 0, 0, 0
