X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
-13, -28, 1.5, -57.952, 61.261, 101, 75, 75, 49
-13, -27.5, 1.5, -57.839, 174.78, 104, 78, 78, 52
-13, -27, 1.5, -59.674, -68.589, 105, 79, 79, 52
-13, -26.5, 1.5, -58.631, 45.265, 106, 79, 79, 52
-13, -26, 1.5, -58.745, 134.13, 106, 80, 80, 52
-13, -25.5, 1.5, -65.694, -70.492, 107, 81, 81, 52
-13, -25, 1.5, -56.932, 66.036, 106, 80, 80, 53
-13, -24.5, 1.5, -54.955, 142.54, 108, 82, 82, 54
-13, -24, 1.5, -60.627, -147.87, 110, 82, 82, 54
-13, -23.5, 1.5, -64.12, 81.468, 110, 82, 82, 53
-13, -23, 1.5, -62.761, 161.71, 109, 81, 81, 52
-13, -22.5, 1.5, -63.287, 1.2702, 107, 81, 81, 52
-13, -22, 1.5, -55.178, 74.514, 102, 77, 77, 50
-13, -21.5, 1.5, -62.605, 148.16, 103, 77, 77, 50
-13, -21, 1.5, -62.489, -2.877, 102, 77, 77, 50
-13, -20.5, 1.5, -58.625, 48.655, 100, 77, 77, 50
-13, -20, 1.5, -59.666, 165.94, 107, 85, 85, 55
-13, -19.5, 1.5, -68.232, -170.78, 107, 85, 85, 55
-13, -19, 1.5, -65.379, 127.39, 104, 81, 81, 52
-13, -18.5, 1.5, -53.694, -113.89, 105, 82, 82, 53
-13, -18, 1.5, -57.173, 5.8597, 107, 83, 83, 54
-13, -17.5, 1.5, -55.546, 160.34, 108, 85, 85, 57
-13, -17, 1.5, -51.252, -101.01, 106, 84, 84, 56
-13, -16.5, 1.5, -53.115, 13.001, 110, 88, 88, 59
-13, -16, 1.5, -51.604, 109.09, 110, 88, 88, 59
-13, -15.5, 1.5, -54.096, -129.55, 108, 86, 86, 58
-13, -15, 1.5, -54.081, -41.818, 107, 85, 85, 59
-13, -14.5, 1.5, -56.185, 21.948, 110, 88, 88, 60
-13, -14, 1.5, -69.74, 128.64, 108, 86, 86, 57
-13, -13.5, 1.5, -54.803, 52.878, 108, 85, 85, 57
-13, -13, 1.5, -52.942, 159.06, 111, 88, 88, 60
-13, -12.5, 1.5, -47.209, -128.33, 112, 89, 89, 62
-13, -12, 1.5, -49.004, -7.8532, 115, 93, 93, 65
-13, -11.5, 1.5, -49.548, 77.712, 120, 97, 97, 67
-13, -11, 1.5, -50.32, -145.73, 119, 96, 96, 66
-13, -10.5, 1.5, -52.967, -37.739, 115, 95, 95, 65
-13, -10, 1.5, -52.08, 71.89, 117, 97, 97, 66
-13, -9.5, 1.5, -49.116, -163.3, 118, 100, 100, 69
-13, -9, 1.5, -49.396, -57.252, 117, 98, 98, 67
-13, -8.5, 1.5, -49.299, 90.01, 109, 90, 90, 68
-13, -8, 1.5, -60.502, 149.26, 115, 96, 96, 71
-12.5, -28, 1.5, -61.741, 51.196, 97, 71, 71, 45
-12.5, -27.5, 1.5, -64.791, 175.15, 119, 91, 91, 60
-12.5, -27, 1.5, -67.946, -154.7, 121, 93, 93, 61
-12.5, -26.5, 1.5, -65.138, -145.93, 124, 96, 96, 64
-12.5, -26, 1.5, -58.796, -67.298, 124, 96, 96, 63
-12.5, -25.5, 1.5, -61.139, 18.505, 120, 95, 95, 63
-12.5, -25, 1.5, -59.863, 127.64, 121, 95, 95, 64
-12.5, -24.5, 1.5, -56.992, -128.57, 123, 96, 96, 64
-12.5, -24, 1.5, -64.717, -26.325, 124, 94, 94, 64
-12.5, -23.5, 1.5, -62.323, -160.45, 125, 97, 97, 65
-12.5, -23, 1.5, -58.443, -89.696, 124, 95, 95, 64
-12.5, -22.5, 1.5, -58.244, -42.435, 121, 93, 93, 62
-12.5, -22, 1.5, -66.392, 95.876, 123, 94, 94, 63
-12.5, -21.5, 1.5, -58.145, -154.6, 117, 91, 91, 61
-12.5, -21, 1.5, -62.49, -73.086, 116, 89, 89, 59
-12.5, -20.5, 1.5, -75.567, -75.874, 118, 91, 91, 61
-12.5, -20, 1.5, -72.243, 153.58, 117, 93, 93, 63
-12.5, -19.5, 1.5, -58.202, 152.41, 116, 92, 92, 62
-12.5, -19, 1.5, -55.979, -154.17, 117, 94, 94, 64
-12.5, -18.5, 1.5, -52.481, -87.678, 116, 93, 93, 62
-12.5, -18, 1.5, -57.319, 53.232, 116, 93, 93, 63
-12.5, -17.5, 1.5, -54.546, 179.23, 116, 93, 93, 64
-12.5, -17, 1.5, -53.477, -80.613, 112, 89, 89, 61
-12.5, -16.5, 1.5, -53.849, 48.334, 114, 91, 91, 62
-12.5, -16, 1.5, -54.442, 130.87, 113, 89, 89, 61
-12.5, -15.5, 1.5, -59.201, -91.207, 114, 91, 91, 63
-12.5, -15, 1.5, -59.726, -36.93, 112, 89, 89, 63
-12.5, -14.5, 1.5, -56.352, 49.466, 113, 90, 90, 63
-12.5, -14, 1.5, -61.364, 47.655, 112, 89, 89, 61
-12.5, -13.5, 1.5, -56.123, 107.45, 112, 89, 89, 60
-12.5, -13, 1.5, -51.918, -109.99, 110, 88, 88, 60
-12.5, -12.5, 1.5, -49.767, -56.87, 110, 88, 88, 60
-12.5, -12, 1.5, -48.433, 66.945, 114, 91, 91, 62
-12.5, -11.5, 1.5, -49.991, 154.33, 116, 91, 91, 63
-12.5, -11, 1.5, -46.864, -85.258, 117, 96, 96, 68
-12.5, -10.5, 1.5, -51.741, 25.977, 120, 99, 99, 69
-12.5, -10, 1.5, -50.003, 130.22, 119, 100, 100, 70
-12.5, -9.5, 1.5, -49.189, -95.823, 122, 102, 102, 71
-12.5, -9, 1.5, -52.949, -11.41, 123, 105, 105, 73
-12.5, -8.5, 1.5, -51.796, 129.77, 120, 102, 102, 72
-12.5, -8, 1.5, -51.528, -107.38, 121, 102, 102, 69
