X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
-13, -28, 1.5, -60.472, 75.526, 8, 5, 5, 5
-13, -27.5, 1.5, -60.499, 139.5, 7, 5, 5, 5
-13, -27, 1.5, -60.599, -157.04, 7, 5, 5, 5
-13, -26.5, 1.5, -60.635, -94.12, 6, 4, 4, 4
-13, -26, 1.5, -60.508, -32.454, 6, 4, 4, 4
-13, -25.5, 1.5, -60.183, 27.761, 8, 6, 6, 6
-13, -25, 1.5, -60.017, 84.338, 8, 6, 6, 6
-13, -24.5, 1.5, -59.991, 141.15, 8, 6, 6, 6
-13, -24, 1.5, -61.756, -173.45, 8, 6, 6, 6
-13, -23.5, 1.5, -59.326, -97.435, 9, 7, 7, 7
-13, -23, 1.5, -58.598, -65.407, 10, 8, 8, 8
-13, -22.5, 1.5, -61.393, -1.6331, 10, 8, 8, 8
-13, -22, 1.5, -57.632, 48.231, 10, 8, 8, 8
-13, -21.5, 1.5, -59.355, 79.07, 11, 9, 9, 9
-13, -21, 1.5, -59.088, 148.05, 11, 9, 9, 9
-13, -20.5, 1.5, -53.482, 165.48, 11, 9, 9, 9
-13, -20, 1.5, -55.167, -147.98, 11, 9, 9, 9
-13, -19.5, 1.5, -50.328, -118.19, 12, 10, 10, 10
-13, -19, 1.5, -53.766, -75.139, 10, 8, 8, 8
-13, -18.5, 1.5, -50.903, -51.934, 12, 10, 10, 10
-13, -18, 1.5, -50.973, -21.022, 11, 9, 9, 9
-13, -17.5, 1.5, -55.945, -154.86, 11, 9, 9, 9
-13, -17, 1.5, -56.76, -134.35, 11, 9, 9, 9
-13, -16.5, 1.5, -56.965, -111.58, 12, 10, 10, 10
-13, -16, 1.5, -60.084, -80.861, 10, 8, 8, 8
-13, -15.5, 1.5, -61.524, -72.452, 10, 8, 8, 8
-13, -15, 1.5, -63.389, -63.571, 11, 9, 9, 9
-13, -14.5, 1.5, -66.342, -50.959, 11, 9, 9, 9
-13, -14, 1.5, -65.465, -34.601, 13, 10, 10, 10
-13, -13.5, 1.5, -66.714, -32.194, 18, 15, 15, 15
-13, -13, 1.5, -66.386, -38.669, 17, 15, 15, 15
-13, -12.5, 1.5, -79.903, -52.078, 20, 18, 18, 18
-13, -12, 1.5, -66.69, -104.81, 18, 16, 16, 16
-13, -11.5, 1.5, -68.865, -144.25, 19, 17, 17, 17
-13, -11, 1.5, -68.636, 29.58, 21, 19, 19, 19
-13, -10.5, 1.5, -52.041, 98.47, 28, 26, 26, 26
-13, -10, 1.5, -47.772, 137.49, 31, 29, 29, 29
-13, -9.5, 1.5, -47.152, 94.811, 26, 24, 24, 24
-13, -9, 1.5, -45.918, -40.744, 25, 23, 23, 23
-13, -8.5, 1.5, -45.905, 91.57, 34, 32, 32, 32
-13, -8, 1.5, -48.563, -45.335, 40, 38, 38, 38
-12.5, -28, 1.5, -60.836, -160.17, 8, 5, 5, 5
-12.5, -27.5, 1.5, -60.591, -101.39, 7, 5, 5, 5
-12.5, -27, 1.5, -60.35, -44.766, 8, 6, 6, 6
-12.5, -26.5, 1.5, -60.292, 9.7465, 9, 7, 7, 7
-12.5, -26, 1.5, -60.231, 64.661, 8, 6, 6, 6
-12.5, -25.5, 1.5, -60.103, 117.24, 9, 7, 7, 7
-12.5, -25, 1.5, -58.528, 176.84, 10, 8, 8, 8
-12.5, -24.5, 1.5, -59.744, -151.74, 10, 8, 8, 8
-12.5, -24, 1.5, -60.602, -80.441, 10, 8, 8, 8
-12.5, -23.5, 1.5, -57.623, -44.959, 11, 9, 9, 9
-12.5, -23, 1.5, -60.519, -8.0915, 10, 8, 8, 8
-12.5, -22.5, 1.5, -58.549, 54.533, 10, 8, 8, 8
-12.5, -22, 1.5, -58.188, 78.909, 11, 9, 9, 9
-12.5, -21.5, 1.5, -59.615, 135.01, 10, 8, 8, 8
-12.5, -21, 1.5, -56.82, 164.52, 11, 9, 9, 9
-12.5, -20.5, 1.5, -53.466, -168.81, 11, 9, 9, 9
-12.5, -20, 1.5, -53.32, -138.22, 11, 9, 9, 9
-12.5, -19.5, 1.5, -55.057, 82.25, 11, 9, 9, 9
-12.5, -19, 1.5, -59.138, 113.21, 12, 10, 10, 10
-12.5, -18.5, 1.5, -59.511, 131.58, 12, 10, 10, 10
-12.5, -18, 1.5, -57.287, 140.99, 12, 10, 10, 10
-12.5, -17.5, 1.5, -57.984, 154.43, 13, 11, 11, 11
-12.5, -17, 1.5, -58.683, 161.16, 13, 11, 11, 11
-12.5, -16.5, 1.5, -59.489, 171.15, 13, 11, 11, 11
-12.5, -16, 1.5, -60.057, 164.45, 14, 12, 12, 12
-12.5, -15.5, 1.5, -63.672, -171.45, 12, 10, 10, 10
-12.5, -15, 1.5, -64.643, -176.4, 13, 11, 11, 11
-12.5, -14.5, 1.5, -69.421, -127.3, 12, 10, 10, 10
-12.5, -14, 1.5, -69.624, -122.78, 14, 11, 11, 11
-12.5, -13.5, 1.5, -65.849, -114.1, 18, 16, 16, 16
-12.5, -13, 1.5, -67.815, -139.05, 18, 16, 16, 16
-12.5, -12.5, 1.5, -70.245, -179.26, 18, 16, 16, 16
-12.5, -12, 1.5, -69.285, 70.841, 20, 18, 18, 18
-12.5, -11.5, 1.5, -69.506, 84.933, 21, 19, 19, 19
-12.5, -11, 1.5, -60.929, 87.956, 29, 27, 27, 27
-12.5, -10.5, 1.5, -53.498, -115.03, 29, 27, 27, 27
-12.5, -10, 1.5, -49.696, -168.51, 29, 27, 27, 27
-12.5, -9.5, 1.5, -46.747, 76.939, 28, 26, 26, 26
-12.5, -9, 1.5, -43.407, -145.96, 32, 30, 30, 30
-12.5, -8.5, 1.5, -40.515, -101.31, 38, 36, 36, 36
-12.5, -8, 1.5, -44.544, -42.179, 52, 50, 50, 50
-12, -28, 1.5, -60.686, -67.908, 11, 8, 8, 8
-12, -27.5, 1.5, -60.523, -14.838, 11, 8, 8, 8
-12, -27, 1.5, -60.447, 35.999, 11, 9, 9, 9
-12, -26.5, 1.5, -58.316, 85.785, 10, 8, 8, 8
-12, -26, 1.5, -60.972, 123.46, 10, 8, 8, 8
-12, -25.5, 1.5, -59.685, -167.96, 10, 8, 8, 8
-12, -25, 1.5, -57.993, -140.95, 10, 8, 8, 8
-12, -24.5, 1.5, -61.189, -96.12, 11, 9, 9, 9
-12, -24, 1.5, -58.241, -41.686, 11, 9, 9, 9
-12, -23.5, 1.5, -58.551, -19.194, 11, 9, 9, 9
-12, -23, 1.5, -59.447, 36.409, 11, 9, 9, 9
-12, -22.5, 1.5, -56.899, 62.217, 11, 9, 9, 9
-12, -22, 1.5, -59.379, 94.264, 12, 10, 10, 10
-12, -21.5, 1.5, -62.55, -30.469, 10, 8, 8, 8
-12, -21, 1.5, -62.983, -8.673, 11, 9, 9, 9
-12, -20.5, 1.5, -64.074, 17.081, 9, 7, 7, 7
-12, -20, 1.5, -59.666, 25.517, 10, 8, 8, 8
-12, -19.5, 1.5, -57.26, 34.206, 12, 10, 10, 10
-12, -19, 1.5, -60.451, 54.841, 12, 10, 10, 10
-12, -18.5, 1.5, -61.453, 62.31, 10, 8, 8, 8
-12, -18, 1.5, -59.296, 63.571, 13, 11, 11, 11
-12, -17.5, 1.5, -60.212, 65.401, 13, 11, 11, 11
-12, -17, 1.5, -60.706, 69.467, 13, 11, 11, 11
-12, -16.5, 1.5, -64.306, 81.221, 12, 10, 10, 10
-12, -16, 1.5, -66.846, 72.153, 12, 10, 10, 10
-12, -15.5, 1.5, -68.692, 102.73, 12, 10, 10, 10
-12, -15, 1.5, -73.144, 73.876, 13, 11, 11, 11
-12, -14.5, 1.5, -70.116, 55.254, 14, 11, 11, 11
-12, -14, 1.5, -72.277, 55.887, 14, 11, 11, 11
-12, -13.5, 1.5, -70.607, 43.386, 18, 16, 16, 16
-12, -13, 1.5, -73.935, 57.639, 18, 16, 16, 16
-12, -12.5, 1.5, -74.071, -72.689, 18, 16, 16, 16
-12, -12, 1.5, -79.312, -89.256, 18, 16, 16, 16
-12, -11.5, 1.5, -52.044, -165.04, 29, 27, 27, 27
-12, -11, 1.5, -59.487, -144.68, 32, 30, 30, 30
-12, -10.5, 1.5, -58.734, -94.081, 31, 29, 29, 29
-12, -10, 1.5, -53.71, 176.4, 31, 29, 29, 29
-12, -9.5, 1.5, -47.404, -20.707, 33, 31, 31, 31
-12, -9, 1.5, -41.837, 44.372, 49, 47, 47, 47
-12, -8.5, 1.5, -43.86, 139.8, 60, 58, 58, 58
-12, -8, 1.5, -43.031, 6.8954, 56, 53, 53, 53
-11.5, -28, 1.5, -60.181, 0.18203, 12, 9, 9, 9
-11.5, -27.5, 1.5, -61.834, 40.721, 12, 9, 9, 9
-11.5, -27, 1.5, -58.968, 98.973, 12, 10, 10, 10
-11.5, -26.5, 1.5, -58.598, 122.38, 12, 10, 10, 10
-11.5, -26, 1.5, -61.387, 174.97, 12, 10, 10, 10
-11.5, -25.5, 1.5, -57.982, -140.61, 12, 10, 10, 10
-11.5, -25, 1.5, -58.889, -118.48, 12, 10, 10, 10
-11.5, -24.5, 1.5, -59.319, -64.871, 10, 8, 8, 8
-11.5, -24, 1.5, -57.065, -42.017, 11, 9, 9, 9
-11.5, -23.5, 1.5, -60.821, -167.49, 11, 9, 9, 9
-11.5, -23, 1.5, -65.094, -157.67, 11, 9, 9, 9
