X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
0, -1.5, 0, -26.083, -153.65, 3, 3, 3, 3
0, -1.5, 0.5, -25.727, 107.52, 8, 8, 8, 4
0, -1.5, 1, nan, nan, 9, 9, 9, 5
0, -1.5, 1.5, nan, nan, 9, 9, 9, 5
0, -1.5, 2, -43.935, 111.54, 3, 3, 3, 2
0, -1.5, 2.5, -23.799, 107.84, 6, 6, 6, 4
0, -1.5, 3, -43.935, 111.54, 4, 4, 4, 2
0, -1.5, 3.5, nan, nan, 6, 6, 6, 4
0, -1.5, 4, -34.52, 63.099, 3, 3, 3, 3
0, -1, 0, -21.793, 168.54, 9, 9, 9, 5
0, -1, 0.5, -30.121, -73.878, 4, 4, 4, 4
0, -1, 1, -17.088, -80.458, 4, 4, 4, 4
0, -1, 1.5, -19.178, -82.146, 3, 3, 3, 3
0, -1, 2, -29.747, -25.278, 2, 2, 2, 2
0, -1, 2.5, -19.818, -61.784, 4, 4, 4, 4
0, -1, 3, -33.963, -145.34, 4, 4, 4, 4
0, -1, 3.5, -46.685, 2.6725, 2, 2, 2, 2
0, -1, 4, -34.167, -140.96, 7, 7, 7, 4
0, -0.5, 0, -23.728, -86.298, 9, 9, 9, 5
0, -0.5, 0.5, -22.177, 33.422, 5, 5, 5, 5
0, -0.5, 1, -14.49, -80.232, 5, 5, 5, 5
0, -0.5, 1.5, -30.202, -175.41, 3, 3, 3, 3
0, -0.5, 2, -24.844, -85.903, 4, 4, 4, 4
0, -0.5, 2.5, -32.182, -24.083, 3, 3, 3, 3
0, -0.5, 3, -35.745, 51.932, 3, 3, 3, 3
0, -0.5, 3.5, -30.706, 129.72, 5, 5, 5, 5
0, -0.5, 4, -38.108, -176.93, 7, 7, 7, 4
0, 0, 0, -32.924, -168.98, 5, 5, 5, 3
0, 0, 0.5, -33.839, -38.478, 2, 2, 2, 2
0, 0, 1, -33.992, -0.3108, 4, 4, 4, 4
0, 0, 1.5, -22.972, -11.411, 3, 3, 3, 3
0, 0, 2, -34.921, -2.2386, 4, 4, 4, 4
0, 0, 2.5, -34.298, -34.457, 3, 3, 3, 3
0, 0, 3, -33.25, 46.28, 4, 4, 4, 4
0, 0, 3.5, -35.287, -26.855, 4, 4, 4, 4
0, 0, 4, -36.352, -9.0682, 6, 6, 6, 3
0, 0.5, 0, -44.393, -131.61, 6, 6, 6, 3
0, 0.5, 0.5, -43.226, 129.99, 4, 4, 4, 4
0, 0.5, 1, -24.536, 7.1385, 4, 4, 4, 4
0, 0.5, 1.5, -33.644, -140.39, 3, 3, 3, 3
0, 0.5, 2, -33.734, 54.253, 3, 3, 3, 3
0, 0.5, 2.5, -32.623, -165.76, 4, 4, 4, 4
0, 0.5, 3, -32.495, -145.61, 4, 4, 4, 4
0, 0.5, 3.5, -35.548, -161.59, 3, 3, 3, 3
0, 0.5, 4, -37.85, -75.963, 5, 5, 5, 3
0, 1, 0, -36.278, -145.39, 4, 4, 4, 2
0, 1, 0.5, -30.546, -105.16, 3, 3, 3, 3
0, 1, 1, -34.668, -51.047, 2, 2, 2, 2
0, 1, 1.5, -34.447, 98.983, 2, 2, 2, 2
0, 1, 2, -34.668, -51.047, 2, 2, 2, 2
0, 1, 2.5, -35.29, -136.72, 2, 2, 2, 2
0, 1, 3, -36.319, -161.16, 4, 4, 4, 4
0, 1, 3.5, -37.622, -56.152, 4, 4, 4, 4
0, 1, 4, nan, nan, 7, 7, 7, 4
0, 1.5, 0, -36.804, -151.51, 2, 2, 2, 2
0, 1.5, 0.5, -35.942, 154.74, 4, 4, 4, 2
0, 1.5, 1, -35.116, -161.18, 4, 4, 4, 3
0, 1.5, 1.5, -35.368, -21.004, 5, 5, 5, 3
0, 1.5, 2, -35.551, -159.46, 5, 5, 5, 3
0, 1.5, 2.5, -66.674, -91.344, 4, 4, 4, 2
0, 1.5, 3, -36.902, -151.15, 5, 5, 5, 3
0, 1.5, 3.5, nan, nan, 4, 4, 4, 3
0, 1.5, 4, -41.144, -45.46, 3, 3, 3, 3
0.5, -1.5, 0, -28.549, -58.041, 3, 3, 3, 3
0.5, -1.5, 0.5, -31.808, 144.55, 5, 5, 5, 5
0.5, -1.5, 1, nan, nan, 5, 5, 5, 5
0.5, -1.5, 1.5, -23.689, -147.96, 5, 5, 5, 5
